pais,sector,isco,empleo,n_obs,alpha,beta,zeta,capa,label
Costa Rica,Cables y aparatos eléctricos,8211,647.5,2,0.0,0.05,0.05,Operadores de planta y máquinas,Mechanical machinery assemblers
Costa Rica,Cables y aparatos eléctricos,8219,535.75,2,0.1818181818181818,0.2272727272727273,0.409090909090909,Operadores de planta y máquinas,Assemblers not elsewhere classified
Costa Rica,Cables y aparatos eléctricos,3324,463.0,2,0.1643097643097643,0.5425925925925926,0.7069023569023569,Técnicos y profesionales asociados,Trade brokers
Costa Rica,Cables y aparatos eléctricos,3323,80.25,1,0.0619883040935672,0.4967836257309941,0.5587719298245614,Técnicos y profesionales asociados,Buyers
Costa Rica,Cables y aparatos eléctricos,4110,73.75,1,0.3220551378446115,0.5883458646616542,0.9104010025062657,Apoyo administrativo,General office clerks
Costa Rica,Cables y aparatos eléctricos,4321,60.25,1,0.1999999999999999,0.3414141414141414,0.5414141414141413,Apoyo administrativo,Stock clerks
Costa Rica,Cables y aparatos eléctricos,5242,34.25,1,0.0833333333333333,0.1666666666666667,0.25,Servicios y ventas,Sales demonstrators
Costa Rica,Dispositivos médicos,8183,21718.25,137,0.0,0.0,0.0,Operadores de planta y máquinas,"Packing, bottling and labelling machine operators"
Costa Rica,Dispositivos médicos,3214,3138.75,12,0.0666666666666666,0.1725044563279857,0.2391711229946523,Técnicos y profesionales asociados,Medical and dental prosthetic technicians
Costa Rica,Dispositivos médicos,3122,2897.0,16,0.15,0.4,0.55,Técnicos y profesionales asociados,Manufacturing supervisors
Costa Rica,Dispositivos médicos,4321,2024.0,10,0.1999999999999999,0.3414141414141414,0.5414141414141413,Apoyo administrativo,Stock clerks
Costa Rica,Dispositivos médicos,7233,1570.0,5,0.065213644380311,0.1366683202733927,0.2018819646537037,Oficios y artesanía,Agricultural and industrial machinery mechanics and repairers
Costa Rica,Dispositivos médicos,3251,1530.25,6,0.0902777777777777,0.2083333333333333,0.2986111111111111,Técnicos y profesionales asociados,Dental assistants and therapists
Costa Rica,Dispositivos médicos,7543,1447.0,7,0.25,0.40625,0.65625,Oficios y artesanía,Product graders and testers (excluding foods and beverages)
Costa Rica,Dispositivos médicos,4311,1242.25,4,0.6333333333333333,0.7833333333333333,1.0,Apoyo administrativo,Accounting and bookkeeping clerks
Costa Rica,Dispositivos médicos,2421,762.25,3,0.0876232201533406,0.46960569550931,0.5572289156626506,Profesionales e ingeniería,Management and organization analysts
Costa Rica,Dispositivos médicos,8344,758.0,2,0.0472488038277512,0.1860047846889952,0.2332535885167464,Operadores de planta y máquinas,Lifting truck operators
Costa Rica,Dispositivos médicos,9112,737.0,4,0.0158730158730158,0.0238095238095238,0.0396825396825396,Ocupaciones elementales,"Cleaners and helpers in offices, hotels and other establishments"
Costa Rica,Dispositivos médicos,3313,618.25,2,0.5666666666666667,0.7833333333333333,1.0,Técnicos y profesionales asociados,Accounting associate professionals
Costa Rica,Dispositivos médicos,4222,586.0,2,0.1719298245614035,0.5464912280701755,0.718421052631579,Apoyo administrativo,Contact centre information clerks
Costa Rica,Dispositivos médicos,4225,546.25,2,0.581453634085213,0.7393483709273183,1.0,Apoyo administrativo,Enquiry clerks
Costa Rica,Dispositivos médicos,2141,491.0,4,0.1847826086956522,0.5543478260869565,0.7391304347826088,Profesionales e ingeniería,Industrial and production engineers
Costa Rica,Dispositivos médicos,5414,470.0,2,0.1577380952380952,0.3135874542124542,0.4713255494505494,Servicios y ventas,Security guards
Costa Rica,Dispositivos médicos,2144,400.0,3,0.1351567209162146,0.4815275266224633,0.616684247538678,Profesionales e ingeniería,Mechanical engineers
