pais,sector,capa,empleo,n_obs,alpha,beta,zeta
Costa Rica,Cables y aparatos eléctricos,Operadores de planta y máquinas,1183.25,4.0,0.0823233390315579,0.13026525555576898,0.21258859458732685
Costa Rica,Cables y aparatos eléctricos,Servicios y ventas,34.25,1.0,0.0833333333333333,0.1666666666666667,0.25
Costa Rica,Cables y aparatos eléctricos,Apoyo administrativo,134.0,2.0,0.2671758687764186,0.4773187279029777,0.7444945966793963
Costa Rica,Cables y aparatos eléctricos,Técnicos y profesionales asociados,543.25,3.0,0.14919462913746825,0.5358255984082515,0.6850202275457199
Costa Rica,Dispositivos médicos,Ocupaciones elementales,1067.75,5.0,0.014286925133519894,0.021430387700279913,0.0357173128337998
Costa Rica,Dispositivos médicos,Operadores de planta y máquinas,22476.25,139.0,0.0015934416684916482,0.006272915935454463,0.007866357603946111
Costa Rica,Dispositivos médicos,Oficios y artesanía,3317.25,16.0,0.14904267908040714,0.2687720702960805,0.41781474937648766
Costa Rica,Dispositivos médicos,Servicios y ventas,956.75,5.0,0.1338028616944773,0.324489106781017,0.4582919684754943
Costa Rica,Dispositivos médicos,Apoyo administrativo,4951.5,20.0,0.35865438614206924,0.5487378405959699,0.7674664947568693
Costa Rica,Dispositivos médicos,Técnicos y profesionales asociados,9142.75,43.0,0.1389706559104465,0.33115264641979564,0.44645564216234956
Costa Rica,Dispositivos médicos,Profesionales e ingeniería,2277.75,18.0,0.13029367429704877,0.5029551915077842,0.633248865804833
Costa Rica,Dispositivos médicos,Dirección y gerencia,333.5,2.0,0.03468970642883685,0.4571108111102819,0.4918005175391188
Costa Rica,Electrónicos,Ocupaciones elementales,882.5,3.0,0.11105228662159275,0.13110165084517003,0.2421539374667629
Costa Rica,Electrónicos,Operadores de planta y máquinas,2362.0,12.0,0.06151873954058512,0.11703711854028248,0.17855585808086757
Costa Rica,Electrónicos,Oficios y artesanía,1217.25,5.0,0.11191503854026595,0.24522303123935688,0.3571380697796229
Costa Rica,Electrónicos,Apoyo administrativo,544.75,4.0,0.19328840688228136,0.3904481763603524,0.5837365832426337
