pais_nom,anio,definicion_formal,empleo,n_obs,p_formal,beta_empleo,beta_formal,beta_informal,cobertura_beta,cobertura_crosswalk,beta_soc_prefusionada
México,2022,emp_ppal==2 (INEGI),57772282.0,719541,0.442353683553646,0.2810028645440138,0.3441176946973426,0.23148787045578054,0.9284182555267873,0.9284182555267873,0.3074763897294395
México,2023,emp_ppal==2 (INEGI),59347075.5,792454,0.44629627116166826,0.2806489225417656,0.342647154685692,0.23122350409958783,0.927268964507719,0.927268964507719,0.30700473575142817
México,2024,emp_ppal==2 (INEGI),59816518.75,778877,0.4523588310628659,0.28343747174212713,0.34506214419865594,0.23300145256158936,0.9275264258669854,0.9275264258669854,0.3093065856334816
México,2025,emp_ppal==2 (INEGI),59819805.0,765812,0.44829054942589663,0.28549431552123644,0.34673244120748614,0.2361276388023472,0.9264937086386738,0.9264937086386738,0.31170142687348074
Costa Rica,2021,formalidad_informalidad==1 (INEC),2039832.0,34297,0.5487916406841348,0.27126271580846345,0.3205392624539432,0.2142441703321718,0.9636119777239992,0.9636119777239992,0.3048419942665725
Costa Rica,2022,formalidad_informalidad==1 (INEC),2154252.25,35287,0.5657105615185037,0.27013944252118177,0.3172331298983097,0.21188286089176764,0.9640944257091847,0.9640944257091847,0.305338618789332
Costa Rica,2023,formalidad_informalidad==1 (INEC),2094838.5,33552,0.6083664683458891,0.27617281244260455,0.3163834949350484,0.21649671472619605,0.9680793991416309,0.9680793991416309,0.3101118835280406
Costa Rica,2024,formalidad_informalidad==1 (INEC),2200452.0,33023,0.6098002819420737,0.283038200587516,0.3211257975927859,0.22615240517856441,0.969294128334797,0.969294128334797,0.31809659643442423
Costa Rica,2025,formalidad_informalidad==1 (INEC),2188736.25,33312,0.6270591077385409,0.28268771556460714,0.3282772478504608,0.20947654241797556,0.9655679634966379,0.9655679634966379,0.31969335558635587
Rep. Dominicana,2021,formal_ci==1 (BID),4630280.231246948,8614,0.40444247085366564,0.25983657820620265,0.3197445276753743,0.2195180119906161,0.9969816577664268,1.0,
Rep. Dominicana,2024,formal_ci==1 (BID),4994033.346954346,7831,0.4340779749411071,0.2634861722074698,0.32822499723730847,0.2140630294481559,0.9982122334312349,1.0,
Guatemala,2023,P10C08A==1 afiliado IGSS,6803796.0,18004,0.1781867063621543,0.20936387653958435,0.32670576611216057,0.18391976019768377,0.9998889135747612,1.0,
Honduras,2021,"CATEGOP in {1,2,7} y aguinaldo",3722369.5436004475,8198,0.20551362888386407,0.22770661857040542,0.29688725599889676,0.2101432345975279,0.9751158819224202,1.0,
Honduras,2022,"CATEGOP in {1,2,7} y aguinaldo",3624049.9067614255,7616,0.2163698685650733,0.2313631272529516,0.3018437957514788,0.21220703229353333,0.993828781512605,1.0,
Honduras,2023,"CATEGOP in {1,2,7} y aguinaldo",3639596.645158537,7500,0.22913507788574825,0.2372238690355549,0.32646650208444145,0.21113643200463533,0.9942666666666666,1.0,
Honduras,2024,"CATEGOP in {1,2,7} y aguinaldo",3724841.545703981,9097,0.23427270733257421,0.23902259607548923,0.31734441353318377,0.2154389306177451,0.994503682532703,1.0,
Honduras,2025,"CATEGOP in {1,2,7} y aguinaldo",4065401.5632458758,11586,0.22301496511248559,0.2368903903755391,0.32514818598139344,0.21189601336650962,0.9946487139651303,1.0,
