anio,categoria,anuncios,total_anio,share
2022,Automatización e industria 4.0,9020,415353,0.021716467679299294
2023,Automatización e industria 4.0,13867,649986,0.021334305661968103
2024,Automatización e industria 4.0,14830,744760,0.019912455019066546
2025,Automatización e industria 4.0,18930,477224,0.03966690694516621
2026,Automatización e industria 4.0,10922,218867,0.04990245217415142
2022,Idioma,66006,415353,0.15891542856317398
2023,Idioma,101368,649986,0.15595412824276214
2024,Idioma,103298,744760,0.13869971534454054
2025,Idioma,87105,477224,0.18252434915259919
2026,Idioma,45456,218867,0.2076877738535275
2022,Inteligencia artificial y datos,6632,415353,0.015967141202784137
2023,Inteligencia artificial y datos,11459,649986,0.017629610483918114
2024,Inteligencia artificial y datos,14639,744760,0.019655996562651056
2025,Inteligencia artificial y datos,19431,477224,0.040716728412653176
2026,Inteligencia artificial y datos,12853,218867,0.05872516185628715
2022,Mejora continua y manufactura esbelta,19660,415353,0.047333232214525955
2023,Mejora continua y manufactura esbelta,28595,649986,0.043993255239343616
2024,Mejora continua y manufactura esbelta,33853,744760,0.04545491164939041
2025,Mejora continua y manufactura esbelta,32987,477224,0.06912267614369771
2026,Mejora continua y manufactura esbelta,19398,218867,0.08862916748527645
2022,Sistemas de calidad y regulación,7956,415353,0.019154791225776627
2023,Sistemas de calidad y regulación,13351,649986,0.02054044240952882
2024,Sistemas de calidad y regulación,14583,744760,0.019580804554487352
2025,Sistemas de calidad y regulación,11537,477224,0.024175230080632996
2026,Sistemas de calidad y regulación,6262,218867,0.02861098292570374
2022,Software técnico y de gestión,62987,415353,0.1516469123853686
2023,Software técnico y de gestión,92077,649986,0.14165997421482923
2024,Software técnico y de gestión,101752,744760,0.1366238788334497
2025,Software técnico y de gestión,82913,477224,0.17374021423901564
2026,Software técnico y de gestión,42393,218867,0.19369297335824953
