capa,termino,categoria,anuncios,total_capa,share
Apoyo administrativo,Inglés,Idioma,41074,281845,0.14573258351221416
Apoyo administrativo,Excel,Software técnico y de gestión,30145,281845,0.10695595096595646
Apoyo administrativo,SAP,Software técnico y de gestión,10062,281845,0.03570047366460288
Apoyo administrativo,Mejora continua,Mejora continua y manufactura esbelta,7621,281845,0.02703968493320797
Apoyo administrativo,Bilingüe,Idioma,7242,281845,0.02569497418794018
Apoyo administrativo,ERP,Software técnico y de gestión,5609,281845,0.019901009420071315
Apoyo administrativo,Analítica de datos,Inteligencia artificial y datos,3526,281845,0.01251042239528819
Apoyo administrativo,Automatización,Automatización e industria 4.0,2987,281845,0.010598023736450886
Apoyo administrativo,SQL,Software técnico y de gestión,2282,281845,0.00809664886728521
Apoyo administrativo,Power BI / Tableau,Software técnico y de gestión,2166,281845,0.007685075129947311
Apoyo administrativo,Lean manufacturing,Mejora continua y manufactura esbelta,2045,281845,0.007255761145310366
Apoyo administrativo,Python,Software técnico y de gestión,1226,281845,0.00434990863772641
Apoyo administrativo,5S,Mejora continua y manufactura esbelta,1204,281845,0.004271851549610602
Apoyo administrativo,AutoCAD,Software técnico y de gestión,1114,281845,0.00395252709822775
Apoyo administrativo,ISO 9001,Sistemas de calidad y regulación,1090,281845,0.003867373911192322
Apoyo administrativo,Inteligencia artificial,Inteligencia artificial y datos,956,281845,0.003391935283577853
Apoyo administrativo,Six Sigma,Mejora continua y manufactura esbelta,865,281845,0.0030690627827351913
Apoyo administrativo,Buenas prácticas de manufactura,Sistemas de calidad y regulación,764,281845,0.002710709787294435
Apoyo administrativo,ISO 14001,Sistemas de calidad y regulación,613,281845,0.002174954318863205
Apoyo administrativo,PLC,Automatización e industria 4.0,567,281845,0.002011744043711969
Apoyo administrativo,"Core tools (APQP, PPAP, MSA)",Sistemas de calidad y regulación,552,281845,0.0019585233018148272
Apoyo administrativo,Machine learning,Inteligencia artificial y datos,539,281845,0.0019123986588373042
Apoyo administrativo,Kaizen,Mejora continua y manufactura esbelta,443,281845,0.0015717859106955951
Apoyo administrativo,Ciencia de datos,Inteligencia artificial y datos,384,281845,0.0013624509925668363
Apoyo administrativo,AMEF / FMEA,Sistemas de calidad y regulación,376,281845,0.0013340665968883606
Apoyo administrativo,Kanban,Mejora continua y manufactura esbelta,330,281845,0.001170856321737125
Apoyo administrativo,TPM,Mejora continua y manufactura esbelta,321,281845,0.0011389238765988398
Apoyo administrativo,FDA,Sistemas de calidad y regulación,290,281845,0.0010289343433447463
Apoyo administrativo,Control estadístico (SPC),Sistemas de calidad y regulación,273,281845,0.0009686175025279852
Apoyo administrativo,Robótica,Automatización e industria 4.0,265,281845,0.0009402331068495094
Apoyo administrativo,IoT,Automatización e industria 4.0,229,281845,0.0008125033262963686
Apoyo administrativo,SolidWorks,Software técnico y de gestión,189,281845,0.0006705813479039898
Apoyo administrativo,ISO 13485,Sistemas de calidad y regulación,173,281845,0.0006138125565470383
Apoyo administrativo,Minitab,Software técnico y de gestión,154,281845,0.0005463996168106584
Apoyo administrativo,Industria 4.0,Automatización e industria 4.0,115,281845,0.00040802568787808903
Apoyo administrativo,Herramientas de IA generativa,Inteligencia artificial y datos,106,281845,0.00037609324273980377
Apoyo administrativo,SMED,Mejora continua y manufactura esbelta,82,281845,0.0002909400557043765
Apoyo administrativo,SCADA,Automatización e industria 4.0,79,281845,0.0002802959073249481
Apoyo administrativo,MATLAB / LabVIEW,Software técnico y de gestión,77,281845,0.0002731998084053292
Apoyo administrativo,Regulación de dispositivos médicos,Sistemas de calidad y regulación,72,281845,0.0002554595611062818
Apoyo administrativo,CATIA,Software técnico y de gestión,49,281845,0.00017385442353066402
