pais_nom,anio,tramo,share_vacantes_fijo,share_empleo,indice_relativo
Costa Rica,2022,β<0.15,0.09425820180153395,0.2975933004329186,0.3167349589671995
Costa Rica,2022,0.15–0.30,0.11574376636103868,0.3050960194368229,0.37936832664906683
Costa Rica,2022,0.30–0.45,0.17607483628189302,0.1954493667690526,0.9008718687226397
Costa Rica,2022,0.45–0.60,0.3730196723117674,0.14570068102541386,2.5601779599554746
Costa Rica,2022,β≥0.60,0.2409035232437669,0.05616063233579204,4.289544352053802
Costa Rica,2023,β<0.15,0.10949228263244973,0.287053762146726,0.38143475916711145
Costa Rica,2023,0.15–0.30,0.13295491633103007,0.29534106320748665,0.4501741643613741
Costa Rica,2023,0.30–0.45,0.1947360883583314,0.21085420845296254,0.9235579872325537
Costa Rica,2023,0.45–0.60,0.3591590263805271,0.14818831696197446,2.4236662764223738
Costa Rica,2023,β≥0.60,0.20365768629766162,0.05856264923085033,3.4776037111103983
Costa Rica,2024,β<0.15,0.11806352513401251,0.27508121726446993,0.429195153010041
Costa Rica,2024,0.15–0.30,0.12375916881551129,0.2921684536043417,0.42358840350063104
Costa Rica,2024,0.30–0.45,0.2041868495906326,0.21663710800238678,0.9425294284688429
Costa Rica,2024,0.45–0.60,0.35680219789494366,0.15089788882469385,2.3645274342403813
Costa Rica,2024,β≥0.60,0.1971882585648999,0.06521533230410774,3.0236487586291045
Costa Rica,2025,β<0.15,0.10811032054228606,0.27741997795291173,0.389699117345602
Costa Rica,2025,0.15–0.30,0.12124337169657287,0.2873449832739032,0.42194358264122256
Costa Rica,2025,0.30–0.45,0.20622225151311985,0.2166958103974259,0.9516669987061713
Costa Rica,2025,0.45–0.60,0.37743388359348784,0.15733143188624227,2.398973168097711
Costa Rica,2025,β≥0.60,0.18699017265453333,0.0612077964895169,3.055005789769923
Guatemala,2023,β<0.15,0.09780034031168897,0.43076928504088113,0.22703647569117527
Guatemala,2023,0.15–0.30,0.18430214413308668,0.2911719494804202,0.6329666867360108
Guatemala,2023,0.30–0.45,0.256237602378455,0.19434128496680034,1.3184928895691337
Guatemala,2023,0.45–0.60,0.26887684630900827,0.0546300354735336,4.92177689394454
Guatemala,2023,β≥0.60,0.1927830668677611,0.029087445038364742,6.62770712977681
Honduras,2022,β<0.15,0.06838712117432531,0.3241326817832924,0.21098496084405138
Honduras,2022,0.15–0.30,0.15086914075184038,0.37378980261850314,0.403620269185942
Honduras,2022,0.30–0.45,0.1869186288011405,0.1326813021356081,1.4087789748256965
Honduras,2022,0.45–0.60,0.36520089061220457,0.14536499245030096,2.512302889824478
Honduras,2022,β≥0.60,0.22862421866048924,0.024031221012295417,9.513633058574724
Honduras,2023,β<0.15,0.06597270638766395,0.3151327609495311,0.20934893023778497
Honduras,2023,0.15–0.30,0.1634523508593635,0.3723670747369609,0.4389548967905548
Honduras,2023,0.30–0.45,0.19650007503503036,0.1333176976160994,1.4739234066348073
Honduras,2023,0.45–0.60,0.371672196775174,0.14993312924573296,2.4789197600619786
Honduras,2023,β≥0.60,0.2024026709427683,0.029249337451675645,6.919906178290988
Honduras,2024,β<0.15,0.06944096688026632,0.33029699305278226,0.21023796262404815
Honduras,2024,0.15–0.30,0.16141724562283194,0.35430259678229414,0.4555914833500836
